,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
0,0.805578574230079,3,0.21287719636432478,-0.2071417077743113,1,0,1,3,3,4,0,13,3,3,0,5,7,5,1.0509937888999847,0.8786680880058652,1,1,9,11,1,0.5114184144641142,3,2,2,4,3,1,6,0.5754248369676035,1,-0.2886528311122454,-0.9445906057378155,-0.4593025408311878,2,4,1,4,-0.7934337933349003,1.1618515874685553,-0.12024172373467251,0.37033343921677997,1,0,2,1,3,1,3,8,7,0,0,5,1.0211566694093004,2,2,0.351000320866527,3,3,2,-0.7521758378613593,0.21650316083884355,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.0686917475382071,0,0,0,-0.08768781151769864,2,2008,8,4
1,-0.8521306835231489,3,0.645747261394846,-0.09188637231949033,1,0,1,3,3,2,0,9,2,3,0,2,6,8,0.15673371079690895,-0.42957696521936545,1,1,5,6,3,-0.5744104693040701,2,2,1,4,3,4,5,1.171992119373828,1,-0.2886528311122454,-0.6412279930944916,0.4664649160883459,2,4,1,4,0.2571404297894544,-0.7951632272572445,-0.12024172373467251,-0.4825119145852412,0,1,2,0,3,1,2,6,7,1,3,5,-0.10448285666218236,2,2,-0.06073101261530326,3,3,2,1.6261947918523714,-0.704483250333654,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.0686917475382071,0,0,0,-0.08768781151769864,5,2007,8,4
2,0.805578574230079,3,0.299451209370429,0.07347997855047018,1,0,2,3,3,4,0,13,3,3,0,5,7,5,0.9847523016330902,0.8302145675160418,1,1,9,11,1,0.3230603427900414,3,2,2,4,3,2,6,0.09290718208021598,1,-0.2886528311122454,-0.30164297894151726,-0.313368754518749,2,4,1,4,-0.6278260340246572,1.1893506246778172,-0.12024172373467251,0.5150125617367657,1,0,2,1,3,1,3,6,7,1,3,5,0.9377759637743759,2,2,0.631726230058684,3,3,2,-0.7521758378613593,-0.07036145903455733,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.0686917475382071,0,0,0,-0.08768781151769864,9,2008,8,4
3,1.0818634505222837,3,0.06858717468748438,-0.09689747386100428,1,0,2,3,3,0,0,14,3,3,0,5,7,5,-1.8636316508433735,-0.7202980881583056,1,1,10,13,3,-0.5744104693040701,2,2,0,3,4,1,5,-0.49927357619066876,1,-0.2886528311122454,-0.06166956894008193,-0.6873240819443734,2,3,1,4,-0.5217335632165326,0.9372761169262505,-0.12024172373467251,0.38365914786993655,1,0,1,0,3,1,3,7,7,1,4,1,0.8127049053219888,1,3,0.790804245267573,3,3,2,-0.7521758378613593,-0.17604842425107345,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.0686917475382071,0,0,0,-0.08768781151769864,2,2006,8,0
4,0.805578574230079,3,0.7611792787363183,0.37514829134961025,1,0,2,3,3,2,0,22,3,3,0,5,8,5,0.951631557999643,0.7333075265363951,1,1,9,11,1,1.3645696802819731,3,2,2,4,3,3,6,0.4635684715164364,1,-0.2886528311122454,-0.17486457365774008,0.19967971298591866,2,4,1,4,-0.045611255199583756,1.6178772878554806,-0.12024172373467251,1.2993256996082674,1,0,2,1,4,1,3,9,7,1,3,5,0.8960856109569135,2,3,1.6984846849888806,3,3,2,0.7801971853099033,0.5637603322645395,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.0686917475382071,0,0,0,-0.08768781151769864,12,2008,8,4
5,0.5292936979378743,3,0.7900372830716863,0.3606160968792198,1,0,2,3,3,4,0,18,3,3,0,0,5,5,0.7197863525655123,0.49103992408727837,1,1,9,11,3,-0.5744104693040701,2,2,5,4,3,1,6,0.632449650727022,1,-0.2886528311122454,-1.1392860138521876,-0.5961154654990992,2,4,1,4,-0.9486910676882532,0.5018746944462716,-0.12024172373467251,-0.29214464811157576,1,0,1,1,1,1,2,5,7,0,0,5,0.6042531412346772,1,2,0.03284429044874908,3,3,2,-0.4329314580340129,-0.2515391136914421,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.0686917475382071,0,3,2,1.3237359981507422,10,2009,8,4
6,-0.8521306835231489,3,0.5014572397180056,-0.043378909397635244,1,0,1,3,3,4,0,6,3,3,0,2,8,5,1.084114532533432,0.9755751289855119,1,1,9,11,4,0.45601898161879867,3,2,2,5,3,3,6,2.029557587832776,1,-0.2886528311122454,-0.5665192899808373,1.433276250408253,2,4,1,4,1.3749928051335953,-0.7951632272572445,-0.12024172373467251,0.3398746765809935,1,0,2,0,3,1,3,7,7,1,4,5,1.0628470222267627,2,2,0.7627316543483572,3,3,2,1.283007083537974,0.15611060928654863,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.0686917475382071,0,0,0,-0.08768781151769864,8,2007,8,4
7,0.805578574230079,3,-1.6628930854346002,-0.013512744210212072,1,0,2,3,3,0,0,21,6,3,0,5,7,6,0.0573714798965672,-0.5749375266888356,1,1,3,4,4,0.7551759189835024,2,2,1,4,3,2,5,0.9109939333211048,4,-0.0902204678862646,-0.7951731995105068,0.1130315273629081,2,4,1,4,-0.14394086229004058,1.45746623746812,-0.12024172373467251,1.0937290518167089,1,0,2,1,3,1,2,7,7,2,3,5,-0.22955391511456935,2,2,0.05155935106155954,3,3,2,1.1233848936243007,2.3755368788333873,3.37237175348001,-0.11633928614822256,-0.2702083542015609,-0.0686917475382071,0,0,2,0.6180240933165219,11,2009,8,4
8,0.5292936979378743,4,-0.1911348643308283,-0.44065903960886155,1,0,1,3,3,4,0,24,1,3,0,0,7,5,-1.3336997527082175,-1.6893684979547727,1,1,13,13,3,-0.5744104693040701,2,2,0,3,3,1,1,-0.9730181828073765,1,-0.2886528311122454,0.8710572699334214,-0.24040186136252964,2,3,1,1,-0.36388866762395716,0.9281097711898298,-0.12024172373467251,0.49216848975992583,0,0,2,0,2,2,2,8,6,2,3,1,-1.980548733447987,1,2,-0.023300891389682332,2,3,2,-0.033875983249829884,-0.704483250333654,2.9959286699740124,-0.11633928614822256,-0.2702083542015609,-0.0686917475382071,0,0,0,-0.08768781151769864,4,2008,8,0
9,-1.1284155598153536,3,-0.21999286866619638,-0.31037039952949874,1,0,1,3,3,0,0,10,1,1,1,1,5,6,-1.0687338036406395,-1.6893684979547727,1,1,5,6,3,-0.5744104693040701,2,2,0,3,3,1,6,0.8934478367797453,1,-0.2886528311122454,-0.9672296066813472,-0.15147346032838724,2,4,1,4,-0.22156949946671703,-0.7951632272572445,-0.12024172373467251,-0.8346913575615222,1,0,1,0,2,2,2,5,7,2,3,5,-1.6470259109082885,2,1,-1.2538161266819707,4,3,2,-0.7521758378613593,-0.644090698781359,-0.3593249004055313,-0.11633928614822256,-0.2702083542015609,-0.0686917475382071,0,0,0,-0.08768781151769864,1,2008,8,4
